date,crossing_name,auto,bus,truck,total,date2,day_type
2019-03-06,BB,8013.0,36.0,611,8660,2019-03,2
2019-03-06,GB,39648.0,418.0,4646,44712,2019-03,2
2019-03-06,GWB,117670.0,1292.0,13295,132257,2019-03,2
2019-03-06,HT,37480.0,445.0,1514,39439,2019-03,2
2019-03-06,LT,42672.0,7094.0,3539,53305,2019-03,2
2019-03-06,OBX,36230.0,100.0,2439,38769,2019-03,2
2019-03-07,BB,8748.0,48.0,721,9517,2019-03,3
2019-03-07,GB,41792.0,447.0,5016,47255,2019-03,3
2019-03-07,GWB,118542.0,1253.0,12450,132245,2019-03,3
2019-03-07,HT,40151.0,495.0,1590,42236,2019-03,3
2019-03-07,LT,44237.0,7170.0,3734,55141,2019-03,3
2019-03-07,OBX,37363.0,104.0,2555,40022,2019-03,3
2019-03-08,BB,8363.0,42.0,593,8998,2019-03,4
2019-03-08,GB,43628.0,430.0,4368,48426,2019-03,4
2019-03-08,GWB,129254.0,1385.0,12277,142916,2019-03,4
2019-03-08,HT,41120.0,469.0,1479,43068,2019-03,4
2019-03-08,LT,42168.0,7214.0,3638,53020,2019-03,4
2019-03-08,OBX,38449.0,100.0,2290,40839,2019-03,4
2019-03-09,BB,6734.0,11.0,144,6889,2019-03,5
2019-03-09,GB,46876.0,178.0,1536,48590,2019-03,5
2019-03-09,GWB,138691.0,1002.0,5179,144872,2019-03,5
2019-03-09,HT,43148.0,249.0,698,44095,2019-03,5
2019-03-09,LT,49403.0,3427.0,1437,54267,2019-03,5
2019-03-09,OBX,41709.0,84.0,965,42758,2019-03,5
2019-03-10,BB,5088.0,5.0,79,5172,2019-03,6
2019-03-10,GB,42579.0,135.0,786,43500,2019-03,6
2019-03-10,GWB,126411.0,727.0,3545,130683,2019-03,6
2019-03-10,HT,36832.0,201.0,255,37288,2019-03,6
2019-03-10,LT,43116.0,2930.0,704,46750,2019-03,6
2019-03-10,OBX,37244.0,86.0,479,37809,2019-03,6
2019-03-11,BB,8694.0,83.0,647,9424,2019-03,0
2019-03-11,GB,39798.0,371.0,4286,44455,2019-03,0
2019-03-11,GWB,120026.0,1285.0,12186,133497,2019-03,0
2019-03-11,HT,37039.0,486.0,1405,38930,2019-03,0
2019-03-11,LT,39905.0,7132.0,3336,50373,2019-03,0
2019-03-11,OBX,37374.0,110.0,2268,39752,2019-03,0
2019-03-12,BB,8076.0,51.0,606,8733,2019-03,1
2019-03-12,GB,39015.0,436.0,4657,44108,2019-03,1
2019-03-12,GWB,119301.0,1281.0,13105,133687,2019-03,1
2019-03-12,HT,38163.0,530.0,1555,40248,2019-03,1
2019-03-12,LT,41240.0,7296.0,3690,52226,2019-03,1
2019-03-12,OBX,36133.0,107.0,2567,38807,2019-03,1
2019-03-13,BB,8231.0,36.0,630,8897,2019-03,2
2019-03-13,GB,40648.0,430.0,4591,45669,2019-03,2
2019-03-13,GWB,121232.0,1260.0,13367,135859,2019-03,2
2019-03-13,HT,39950.0,497.0,1563,42010,2019-03,2
2019-03-13,LT,42282.0,7208.0,3589,53079,2019-03,2
